audit_reason,repo,candidate_id,condition,status,failure_mode,hidden_bug_fix_tests_passed,previously_passing_tests_passed,changed_files_from_metrics,patch_files,patch_additions,patch_deletions,result_path,metrics_path,patch_path,oracle_output_path,agent_stdout_path,first_agent_commands,oracle_output_tail,fairness_read
all_clean_failures,cattrs,cattrs_pr_142,clean,FAIL,regression_only_failure,4/4,11/12,src/cattr/converters.py; src/cattr/gen.py; tests/metadata/test_genconverter.py,src/cattr/converters.py; src/cattr/gen.py; tests/metadata/test_genconverter.py,107,3,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/clean/rep_1/result.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/clean/rep_1/metrics.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/clean/rep_1/logs/final_repo_diff.patch,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/clean/rep_1/logs/post_run_test_output.txt,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/clean/rep_1/logs/agent_stdout.log,"/usr/bin/bash -lc 'rg --files' | /usr/bin/bash -lc 'rg -n ""forbid_extra|extra_keys|GenConverter|Converter"" tests src cattr cattrs' | /usr/bin/bash -lc 'git status --short' | /usr/bin/bash -lc ""sed -n '1,430p' tests/metadata/test_genconverter.py""","LLM-J/comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/clean/rep_1/.oracle_eval/workspace/tests/metadata/__init__.py:562: HypothesisWarning: Return-type annotation is `st.SearchStrategy[typing.Tuple[typing.Type, st.SearchStrategy[typing.Tuple[typing.Any]]]]`, but the decorated function should return a value (not a strategy) / @composite / -- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html / =========================== short test summary info ============================ / FAILED tests/metadata/test_genconverter.py::test_simple_roundtrip - As",Clean baseline failure; degraded-condition failures for this PR should not be attributed to degradation without paired comparison.
all_clean_failures,click,click_pr_2816,clean,FAIL,hidden_bug_fix_only_failure,0/1,50/50,CHANGES.rst; docs/shell-completion.md; src/click/shell_completion.py; tests/test_shell_completion.py,CHANGES.rst; docs/shell-completion.md; src/click/shell_completion.py; tests/test_shell_completion.py,50,3,runs/click/click_pr_2816/codex_cli/clean/rep_1/result.json,runs/click/click_pr_2816/codex_cli/clean/rep_1/metrics.json,runs/click/click_pr_2816/codex_cli/clean/rep_1/logs/final_repo_diff.patch,runs/click/click_pr_2816/codex_cli/clean/rep_1/logs/post_run_test_output.txt,runs/click/click_pr_2816/codex_cli/clean/rep_1/logs/agent_stdout.log,"/usr/bin/bash -lc 'rg -n ""shell_completion|completion|nargs|flag"" tests src click -S' | /usr/bin/bash -lc 'git status --short' | /usr/bin/bash -lc 'rg --files' | /usr/bin/bash -lc ""sed -n '480,680p' src/click/shell_completion.py""","tests/test_shell_completion.py::test_add_completion_class_with_name PASSED [ 96%] / tests/test_shell_completion.py::test_add_completion_class_decorator PASSED [ 98%] / tests/test_shell_completion.py::test_files_closed PASSED                 [100%] / =========================== short test summary info ============================ / FAILED tests/test_shell_completion.py::test_flag_option_with_nargs_option - A... / ========================= 1 failed, 50 passed in 0.09s =========================",Clean baseline failure; degraded-condition failures for this PR should not be attributed to degradation without paired comparison.
all_clean_failures,click,click_pr_3004,clean,FAIL,regression_only_failure,5/5,293/295,src/click/core.py; src/click/types.py; tests/test_options.py,src/click/core.py; src/click/types.py; tests/test_options.py,71,1,runs/click/click_pr_3004/codex_cli/clean/rep_1/result.json,runs/click/click_pr_3004/codex_cli/clean/rep_1/metrics.json,runs/click/click_pr_3004/codex_cli/clean/rep_1/logs/final_repo_diff.patch,runs/click/click_pr_3004/codex_cli/clean/rep_1/logs/post_run_test_output.txt,runs/click/click_pr_3004/codex_cli/clean/rep_1/logs/agent_stdout.log,"/usr/bin/bash -lc 'rg -n ""choice_default_rendering|Choice|Enum|default"" tests/test_options.py' | /usr/bin/bash -lc 'git status --short' | /usr/bin/bash -lc ""rg -n \""show_default|default.*choice|Choice|ParamType|Enum\"" src click tests -g '*.py'"" | /usr/bin/bash -lc ""sed -n '233,380p' src/click/types.py""","tests/test_options.py::test_duplicate_names_warning[opts_one0-opts_two0] PASSED [ 99%] / tests/test_options.py::test_duplicate_names_warning[opts_one1-opts_two1] PASSED [100%] / =========================== short test summary info ============================ / FAILED tests/test_options.py::test_choice_default_rendering[choices4-0.0-0.0] / FAILED tests/test_options.py::test_choice_default_rendering[choices6-2-2] - A... / ======================== 2 failed, 298 passed in 0.30s =========================",Clean baseline failure; degraded-condition failures for this PR should not be attributed to degradation without paired comparison.
all_clean_failures,copier,copier_pr_2587,clean,FAIL,hidden_bug_fix_only_failure,2/3,1/1,copier/_template.py; docs/configuring.md; tests/test_jinja2_undefined.py,copier/_template.py; docs/configuring.md,37,1,runs/copier/copier_pr_2587/codex_cli/clean/rep_1/result.json,runs/copier/copier_pr_2587/codex_cli/clean/rep_1/metrics.json,runs/copier/copier_pr_2587/codex_cli/clean/rep_1/logs/final_repo_diff.patch,runs/copier/copier_pr_2587/codex_cli/clean/rep_1/logs/post_run_test_output.txt,runs/copier/copier_pr_2587/codex_cli/clean/rep_1/logs/agent_stdout.log,"/usr/bin/bash -lc 'git status --short' | /usr/bin/bash -lc 'rg --files' | /usr/bin/bash -lc 'rg -n ""jinja|Jinja|Environment|undefined|StrictUndefined"" .' | /usr/bin/bash -lc ""sed -n '300,370p' copier/_template.py""","[gw1] [ 50%] PASSED tests/test_jinja2_undefined.py::test_undefined / [gw2] [ 75%] PASSED tests/test_jinja2_undefined.py::test_default / [gw0] [100%] FAILED tests/test_jinja2_undefined.py::test_invalid_value / =========================== short test summary info ============================ / FAILED tests/test_jinja2_undefined.py::test_invalid_value - Failed: DID NOT R... / ========================= 1 failed, 3 passed in 2.81s ==========================",Clean baseline failure; degraded-condition failures for this PR should not be attributed to degradation without paired comparison.
all_clean_failures,pip-tools,pip-tools_pr_1893,clean,FAIL,hidden_bug_fix_only_failure,0/39,79/79,piptools/utils.py; tests/test_utils.py,piptools/utils.py; tests/test_utils.py,55,2,runs/pip-tools/pip-tools_pr_1893/codex_cli/clean/rep_1/result.json,runs/pip-tools/pip-tools_pr_1893/codex_cli/clean/rep_1/metrics.json,runs/pip-tools/pip-tools_pr_1893/codex_cli/clean/rep_1/logs/final_repo_diff.patch,runs/pip-tools/pip-tools_pr_1893/codex_cli/clean/rep_1/logs/post_run_test_output.txt,runs/pip-tools/pip-tools_pr_1893/codex_cli/clean/rep_1/logs/agent_stdout.log,"/usr/bin/bash -lc 'git status --short' | /usr/bin/bash -lc 'rg -n ""callback_config_file_defaults|config_file|default"" tests/test_utils.py src piptools' | /usr/bin/bash -lc 'rg -n ""pip-compile|CUSTOM_COMPILE_COMMAND|header|generate.*header|click"" src piptools tests/test_utils.py' | /usr/bin/bash -lc ""sed -n '300,420p' piptools/utils.py""","FAILED tests/test_utils.py::test_callback_config_file_defaults[generate-hashes-True] / FAILED tests/test_utils.py::test_callback_config_file_defaults[emit-options-False] / FAILED tests/test_utils.py::test_callback_config_file_defaults_precedence - A... / FAILED tests/test_utils.py::test_callback_config_file_defaults[index-url-changed] / FAILED tests/test_utils.py::test_callback_config_file_defaults[rebuild-True] / ================= 39 failed, 128 passed, 17 warnings in 1.79s ==================",Clean baseline failure; degraded-condition failures for this PR should not be attributed to degradation without paired comparison.
all_clean_failures,pip-tools,pip-tools_pr_2087,clean,FAIL,hidden_bug_fix_only_failure,0/1,0/0,piptools/_compat/__init__.py; piptools/_compat/pip_compat.py; piptools/utils.py; tests/test_pip_compat.py,piptools/_compat/__init__.py; piptools/_compat/pip_compat.py; piptools/utils.py,18,3,runs/pip-tools/pip-tools_pr_2087/codex_cli/clean/rep_1/result.json,runs/pip-tools/pip-tools_pr_2087/codex_cli/clean/rep_1/metrics.json,runs/pip-tools/pip-tools_pr_2087/codex_cli/clean/rep_1/logs/final_repo_diff.patch,runs/pip-tools/pip-tools_pr_2087/codex_cli/clean/rep_1/logs/post_run_test_output.txt,runs/pip-tools/pip-tools_pr_2087/codex_cli/clean/rep_1/logs/agent_stdout.log,"/usr/bin/bash -lc 'git status --short' | /usr/bin/bash -lc 'rg -n ""parse_requirements|preserve_editable_relative_path|editable"" tests piptools' | /usr/bin/bash -lc ""sed -n '1,220p' tests/test_pip_compat.py"" | /usr/bin/bash -lc ""sed -n '1,160p' piptools/_compat/pip_compat.py""","0.02s call     tests/test_pip_compat.py::test_parse_requirements_preserve_editable_relative_path / 0.01s setup    tests/test_pip_compat.py::test_parse_requirements_preserve_editable_relative_path / (1 durations < 0.005s hidden.  Use -vv to show these durations.) / =========================== short test summary info ============================ / FAILED tests/test_pip_compat.py::test_parse_requirements_preserve_editable_relative_path / ======================== 1 failed, 17 warnings in 5.77s ========================",Clean baseline failure; degraded-condition failures for this PR should not be attributed to degradation without paired comparison.
all_clean_failures,pydantic-settings,pydantic-settings_pr_730,clean,FAIL,hidden_bug_fix_only_failure,6/9,23/23,docs/index.md; pydantic_settings/sources/providers/gcp.py; tests/test_source_gcp_secret_manager.py,docs/index.md; pydantic_settings/sources/providers/gcp.py; tests/test_source_gcp_secret_manager.py,108,11,runs/pydantic-settings/pydantic-settings_pr_730/codex_cli/clean/rep_1/result.json,runs/pydantic-settings/pydantic-settings_pr_730/codex_cli/clean/rep_1/metrics.json,runs/pydantic-settings/pydantic-settings_pr_730/codex_cli/clean/rep_1/logs/final_repo_diff.patch,runs/pydantic-settings/pydantic-settings_pr_730/codex_cli/clean/rep_1/logs/post_run_test_output.txt,runs/pydantic-settings/pydantic-settings_pr_730/codex_cli/clean/rep_1/logs/agent_stdout.log,"/usr/bin/bash -lc 'rg -n ""GoogleSecretManager|GoogleSecretManagerMapping|secret_manager_mapping"" .' | /usr/bin/bash -lc 'git status --short' | /usr/bin/bash -lc 'rg --files' | /usr/bin/bash -lc ""sed -n '1,220p' pydantic_settings/sources/providers/gcp.py""",tests/test_source_gcp_secret_manager.py::TestGoogleSecretManagerSettingsSource::test_secret_manager_mapping_collision[False-Test-Secret-lower_val] FAILED [100%] / =========================== short test summary info ============================ / FAILED tests/test_source_gcp_secret_manager.py::TestGoogleSecretManagerSettingsSource::test_secret_manager_mapping_collision[False-TEST-SECRET-UPPER_VAL] / FAILED tests/test_source_gcp_secret_manager.py::TestGoogleSecretManagerSettingsSource::test_secret_manager_mapping_collision[False-test-secret-lower_val] / FAILED tests/test_source_gcp_secret_manage,Clean baseline failure; degraded-condition failures for this PR should not be attributed to degradation without paired comparison.
all_clean_failures,pydantic-settings,pydantic-settings_pr_773,clean,FAIL,hidden_bug_fix_only_failure,4/6,11/11,docs/index.md; pydantic_settings/main.py; pydantic_settings/sources/providers/yaml.py; tests/test_source_yaml.py,docs/index.md; pydantic_settings/main.py; pydantic_settings/sources/providers/yaml.py; tests/test_source_yaml.py,218,4,runs/pydantic-settings/pydantic-settings_pr_773/codex_cli/clean/rep_1/result.json,runs/pydantic-settings/pydantic-settings_pr_773/codex_cli/clean/rep_1/metrics.json,runs/pydantic-settings/pydantic-settings_pr_773/codex_cli/clean/rep_1/logs/final_repo_diff.patch,runs/pydantic-settings/pydantic-settings_pr_773/codex_cli/clean/rep_1/logs/post_run_test_output.txt,runs/pydantic-settings/pydantic-settings_pr_773/codex_cli/clean/rep_1/logs/agent_stdout.log,"/usr/bin/bash -lc 'rg -n ""yaml_config_section|YamlConfig|yaml"" pydantic_settings tests docs -S' | /usr/bin/bash -lc 'git status --short' | /usr/bin/bash -lc ""sed -n '1,330p' tests/test_source_yaml.py"" | /usr/bin/bash -lc ""sed -n '1,120p' pydantic_settings/sources/providers/yaml.py""","tests/test_source_yaml.py::test_yaml_config_section_complex_unusual_keys PASSED [ 94%] / tests/test_source_yaml.py::test_yaml_config_section_non_dict_intermediate FAILED [100%] / =========================== short test summary info ============================ / FAILED tests/test_source_yaml.py::test_yaml_config_section_empty_path - Asser... / FAILED tests/test_source_yaml.py::test_yaml_config_section_non_dict_intermediate / =================== 2 failed, 15 passed, 1 skipped in 0.13s ====================",Clean baseline failure; degraded-condition failures for this PR should not be attributed to degradation without paired comparison.
all_clean_failures,starlette,starlette_pr_2422,clean,FAIL,hidden_bug_fix_only_failure,0/1,4/4,starlette/config.py; tests/test_config.py,starlette/config.py; tests/test_config.py,11,1,comparison_slices/starlette_pr_2422_codex_clean/runs/starlette/starlette_pr_2422/codex_cli/clean/rep_1/result.json,comparison_slices/starlette_pr_2422_codex_clean/runs/starlette/starlette_pr_2422/codex_cli/clean/rep_1/metrics.json,comparison_slices/starlette_pr_2422_codex_clean/runs/starlette/starlette_pr_2422/codex_cli/clean/rep_1/logs/final_repo_diff.patch,comparison_slices/starlette_pr_2422_codex_clean/runs/starlette/starlette_pr_2422/codex_cli/clean/rep_1/logs/post_run_test_output.txt,comparison_slices/starlette_pr_2422_codex_clean/runs/starlette/starlette_pr_2422/codex_cli/clean/rep_1/logs/agent_stdout.log,"/usr/bin/bash -lc ""sed -n '1,220p' starlette/config.py"" | /usr/bin/bash -lc 'pwd && rg -n ""class Config|env_file|FileNotFoundError|missing_env_file"" -S starlette tests' | /usr/bin/bash -lc ""sed -n '1,220p' tests/test_config.py"" | /usr/bin/bash -lc ""sed -n '220,320p' tests/test_config.py""","tests/test_config.py::test_config_types PASSED                           [ 20%] / tests/test_config.py::test_config PASSED                                 [ 40%] / tests/test_config.py::test_missing_env_file_raises FAILED                [ 60%] / tests/test_config.py::test_environ PASSED                                [ 80%] / tests/test_config.py::test_config_with_env_prefix PASSED                 [100%] / ========================= 1 failed, 4 passed in 0.02s ==========================",Clean baseline failure; degraded-condition failures for this PR should not be attributed to degradation without paired comparison.
naming_regression_only,httpx,httpx_pr_2423,naming,FAIL,regression_only_failure,6/6,109/135,httpx/_decoders.py; tests/models/test_responses.py; tests/test_decoders.py,httpx/_decoders.py; tests/models/test_responses.py; tests/test_decoders.py,87,96,runs/httpx/httpx_pr_2423/codex_cli/naming/rep_1/result.json,runs/httpx/httpx_pr_2423/codex_cli/naming/rep_1/metrics.json,runs/httpx/httpx_pr_2423/codex_cli/naming/rep_1/logs/final_repo_diff.patch,runs/httpx/httpx_pr_2423/codex_cli/naming/rep_1/logs/post_run_test_output.txt,runs/httpx/httpx_pr_2423/codex_cli/naming/rep_1/logs/agent_stdout.log,"/usr/bin/bash -lc 'git status --short' | /usr/bin/bash -lc 'rg -n ""LineDecoder|iter_lines|splitlines"" tests/models/test_responses.py tests/test_decoders.py httpx -S' | /usr/bin/bash -lc ""sed -n '220,320p' tests/test_decoders.py"" | /usr/bin/bash -lc ""sed -n '258,360p' httpx/_decoders.py""","tests/test_decoders.py::test_line_decoder_cr PASSED                      [ 97%] / tests/test_decoders.py::test_line_decoder_crnl PASSED                    [ 97%] / tests/test_decoders.py::test_byte_chunker FAILED                         [ 98%] / tests/test_decoders.py::test_text_chunker FAILED                         [ 99%] / tests/test_decoders.py::test_invalid_content_encoding_header PASSED      [100%] / ======================== 26 failed, 115 passed in 1.50s ========================",Hidden bug-fix tests passed but previously passing tests regressed; fair signal for collateral-damage risk.
