candidate_id,repo,pr_number,scope,test_coverage,mutation_relevance,clarity,complexity,total_score,recommendation,summary,run_number,model,provider
uvicorn_pr_2742,encode/uvicorn,2742,5,5,4,3,3,20,ACCEPT,"A high-quality, tightly scoped bug fix for asyncio context variable pollution across ASGI runs. The test is exemplary — it directly exercises the triggering condition (HIGH_WATER_LIMIT body pause) and would serve as a clean pass/fail signal. The main weakness is the sparse PR description, but the inline comments and test docstring provide enough context for reconstruction. Well-suited for the experiment: focused scope, meaningful code surface, non-trivial but not overwhelming complexity.",1,claude-sonnet-4-6,claude-code
uvicorn_pr_2769,encode/uvicorn,2769,5,5,4,3,3,20,ACCEPT,"A clean, well-scoped bug fix ensuring WebSocket transports are always closed after ASGI application return, applied consistently across three protocol implementations. Strong test coverage with a direct pass/fail signal. The main weakness is the sparse PR description requiring code reading to fully understand. Overall a good experimental candidate: focused, testable, in core application code with type annotations and descriptive naming that would expose meaningful signals under mutation.",1,claude-sonnet-4-6,claude-code
uvicorn_pr_2776,encode/uvicorn,2776,5,4,2,5,1,17,REVIEW,"This PR is a pure typo fix (attribute name misspelling) that is far too simple for the experiment. While it is perfectly scoped and clearly described, a coding agent can solve it by running a literal string search-and-replace with zero understanding of the codebase. There is no meaningful complexity for measuring the effect of codebase degradation — the task is equally trivial in a clean or degraded codebase. Reject.",1,claude-sonnet-4-6,claude-code
uvicorn_pr_2824,encode/uvicorn,2824,5,5,3,5,2,20,ACCEPT,"This is a well-described, tightly scoped bug fix with excellent test coverage. The description is clear enough to serve as a direct agent prompt, and the tests provide strong pass/fail signal. However, the actual fix is a one-line regex edit with essentially no meaningful mutation surface (no type hints, no named variables, no docstrings on the changed line), and the implementation complexity is very low — an agent that understands regex escaping will solve it trivially. The PR is high quality but too simple and too thin on mutation-relevant code to produce meaningful experimental signal across degradation conditions.",1,claude-sonnet-4-6,claude-code
uvicorn_pr_2829,encode/uvicorn,2829,5,5,5,5,4,24,ACCEPT,"Excellent experimental candidate. The PR fixes a genuine, well-documented protocol bug with a focused, symmetric change across two parallel implementations, accompanied by directly-validating tests that serve as clear pass/fail signals. The code is core ASGI protocol logic rich in type hints, descriptive naming, and meaningful state variables — all high-value mutation targets. The description is comprehensive enough to serve as a standalone agent task prompt. Complexity is in the ideal sweet spot: requires real protocol understanding but the solution is contained and verifiable.",1,claude-sonnet-4-6,claude-code
uvicorn_pr_2844,encode/uvicorn,2844,5,1,2,4,2,14,REVIEW,"This PR is a poor candidate for the experiment. It adds benchmark infrastructure rather than fixing or implementing application functionality, meaning there is no 'fix' for an agent to re-solve and no FAIL_TO_PASS signal available. The mutation relevance is very low since zero core uvicorn source lines are touched — all changes are in CI config, dependencies, and test scaffolding. Degrading naming or type hints in the benchmark mock classes would not meaningfully affect an agent's ability to reproduce this work. Additionally, the complexity sits below the desired sweet-spot: the 9 test functions are structurally repetitive templates over the same mock infrastructure pattern.",1,claude-sonnet-4-6,claude-code
uvicorn_pr_2859,encode/uvicorn,2859,4,2,4,4,2,16,REVIEW,"This PR is a clean, well-scoped TODO completion that implements a known Python 3.11+ API improvement, but it scores poorly for our experiment on two critical axes: the test changes don't verify the behavioral fix (just prevent mock breakage), and the change itself is too mechanically simple — a version gate around an already-commented-out alternative implementation. Agents would likely solve this correctly even in a heavily degraded codebase, making it a weak experimental candidate.",1,claude-sonnet-4-6,claude-code
uvicorn_pr_2888,encode/uvicorn,2888,5,5,5,5,4,24,ACCEPT,"Excellent experiment candidate. The PR is a single, clearly-bounded feature addition to a specific protocol implementation, backed by targeted integration tests that produce clear pass/fail signals. The source code is rich with type annotations, descriptive identifiers, and explanatory comments — all properties the experiment plans to degrade. The description is detailed enough to serve directly as an agent task prompt. Complexity sits squarely in the 3-4 sweet spot: non-trivial asyncio state machine work, but tightly scoped enough that codebase quality degradation should produce measurable differences in agent performance.",1,claude-sonnet-4-6,claude-code
uvicorn_pr_2903,encode/uvicorn,2903,5,5,5,4,3,22,ACCEPT,"This is a high-quality experimental candidate. It is tightly scoped to a single middleware file, contains rich test coverage with parametrized edge-case matrices, is built on core application code with type hints and descriptive names that degrade meaningfully, has a sufficiently clear description, and sits at moderate complexity — requiring real understanding of proxy trust models and address parsing without being overwhelming. Strong 5/5 on three dimensions; slight deductions only for clarity (bug not stated explicitly) and complexity (not as deep as possible, but that's appropriate).",1,claude-sonnet-4-6,claude-code
uvicorn_pr_2905,encode/uvicorn,2905,5,4,4,4,3,20,ACCEPT,"A tightly scoped, well-tested feature addition that broadens `log_config` to accept `pathlib.Path` objects. The PR is clear, focused, and contains meaningful Python application code with type annotations and a direct test, making it a solid candidate for the degradation experiment. Complexity is in the desirable moderate range.",1,claude-sonnet-4-6,claude-code
