candidate_id,repo,pr_number,scope,test_coverage,mutation_relevance,clarity,complexity,total_score,recommendation,summary,run_number,model,provider
copier_pr_2427,copier-org/copier,2427,5,5,4,3,4,21,ACCEPT,"Strong candidate. Single-purpose, well-scoped bug fix with excellent test coverage that directly validates the broken operation (`run_update` on symlinked-outside paths). The core logic requires real reasoning about symlink and path resolution semantics, putting it in the ideal complexity sweet spot. The main drawback is the terse PR description requiring external context, but the inline comment and test structure compensate well. High experimental value.",1,claude-sonnet-4-6,claude-code
copier_pr_2432,copier-org/copier,2432,5,5,3,5,3,21,ACCEPT,"A well-scoped, clearly described bug fix with a direct pass/fail test. The PR is ideal in terms of scope, clarity, and test quality. The main limitation for the experiment is that the actual source code change is very small (one git call expanded), which limits how much naming/type-hint degradation could affect an agent's ability to find and apply the fix. However, the test scaffolding and surrounding context in the test file provide decent mutation surface, making this a reasonable but not exceptional candidate.",1,claude-sonnet-4-6,claude-code
copier_pr_2456,copier-org/copier,2456,5,5,4,2,3,19,ACCEPT,"This is a well-scoped security fix with excellent test coverage and moderate complexity sitting in the sweet spot for our experiment. The main weakness is the nearly empty PR description, which would make it difficult to hand to an AI agent as a task prompt without supplementing it with information derived from the diff or linked issues. The test signal is strong and the code has good mutation surface. If we can reconstruct a task description from the title and code context, this is a solid candidate; as-is, the clarity score is a meaningful limitation.",1,claude-sonnet-4-6,claude-code
copier_pr_2538,copier-org/copier,2538,5,5,2,4,2,18,ACCEPT,"This PR is clean, well-tested, and clearly described, but it is too simple to be a useful experimental candidate. The entire source fix is a single regex change on one line, leaving almost no code surface to degrade meaningfully. An AI agent would either get it right or wrong regardless of codebase quality conditions, making it a poor discriminator for the experiment. The mutation relevance is also very low since there's minimal application logic, type usage, or documentation in the changed code path.",1,claude-sonnet-4-6,claude-code
copier_pr_2545,copier-org/copier,2545,4,5,4,4,2,19,ACCEPT,"A clean, well-described bug fix with an excellent snapshot test that serves as a direct pass/fail signal. However, the complexity is too low (simple parent class swap) to be a strong experimental candidate — the fix is nearly mechanical once the problem is understood, limiting the signal we could measure between clean and degraded conditions. The bulk of the diff is lock file noise. Good test hygiene and clarity, but marginal experimental value due to low implementation complexity.",1,claude-sonnet-4-6,claude-code
copier_pr_2547,copier-org/copier,2547,5,5,4,4,3,21,ACCEPT,"A well-scoped, clearly described bug fix with excellent test coverage that directly validates the regression. The code is real application logic with type hints, docstrings, and descriptive naming—all four degradable properties are present and meaningful. Moderate complexity (requires understanding git VCS flow and ref-resolution ordering) puts it in the ideal difficulty range for the experiment. Strong candidate overall.",1,claude-sonnet-4-6,claude-code
copier_pr_2548,copier-org/copier,2548,5,5,4,3,3,20,ACCEPT,"A clean, well-scoped feature PR that threads a new CLI flag through multiple architectural layers with strong tests that directly validate the before/after behavior. The main weakness is a sparse PR description that requires reading the linked issue for full context. Complexity sits in the desirable 3-4 range: requires navigating copier's CLI-to-Worker pipeline but is bounded and comprehensible. Good experimental candidate overall.",1,claude-sonnet-4-6,claude-code
copier_pr_2584,copier-org/copier,2584,5,5,4,5,3,22,ACCEPT,"This is an excellent experimental candidate. It's a tightly scoped bug fix with a clear description, meaningful test coverage that directly validates the fix across multiple parametrized cases, and touches real application logic with type hints and descriptive naming. The complexity is in the sweet spot — requires contextual understanding of Jinja configuration but is not sprawling. High confidence this would produce clean pass/fail signal under codebase degradation.",1,claude-sonnet-4-6,claude-code
copier_pr_2587,copier-org/copier,2587,5,5,4,4,3,21,ACCEPT,"A well-scoped, cleanly implemented feature PR with excellent test coverage across all behavioral paths. The focused change to `_main.py` adds Jinja2 strict undefined support in ~10 lines, and the four new tests directly validate each code path. Moderate complexity (requires Jinja2 and copier envops context but is not architecturally complex), making it a good candidate for the experiment. The tests serve as clear pass/fail signals, the code has descriptive naming and type annotations, and the task description is clear enough to hand to an agent.",1,claude-sonnet-4-6,claude-code
copier_pr_2605,copier-org/copier,2605,4,5,5,5,4,23,ACCEPT,"A strong experimental candidate. The PR fixes a single well-defined bug with rich type annotations, descriptive naming, meaningful docstrings, and comprehensive regression tests that serve as clear pass/fail signals. The complexity is in the sweet spot: requires real git internals knowledge and multi-path reasoning, but the detailed description makes it tractable for an AI agent. Degrading any of the target properties (type hints, naming, comments, tests) would meaningfully impact an agent's ability to correctly implement all three failure modes, especially the critical `--cacheinfo` vs `--chmod` ordering constraint.",1,claude-sonnet-4-6,claude-code
